Num,Ambiente,00:26:5a:66:55:ef,00:27:19:ca:71:d2,06:1e:a2:0a:db:03,06:ad:54:f8:9d:b8,18:0d:2c:7f:eb:ac,18:0d:2c:7f:f5:9c,18:d6:c7:f9:37:2f,24:2f:d0:cc:ed:8c,24:36:da:2b:5e:c0,24:36:da:2b:5e:c2,24:36:da:2b:bc:00,24:36:da:2b:bc:02,24:36:da:a2:7f:40,24:36:da:a2:7f:42,24:fd:0d:57:19:26,2c:57:41:cd:e1:c0,2c:57:41:cd:e1:c2,2c:57:41:d4:a5:20,2c:57:41:d4:a5:22,48:51:cf:81:b0:9e,50:c7:bf:ef:56:8a,54:e6:fc:ba:ad:86,54:e6:fc:cf:22:de,58:10:8c:91:f3:aa,60:32:b1:2d:66:c3,64:70:02:99:fe:f4,6e:ac:d9:fb:2c:71,7c:f1:7e:8d:13:22,84:f1:47:54:6b:80,84:f1:47:54:6b:82,84:f1:47:54:71:00,84:f1:47:54:71:02,84:f1:47:54:7f:20,84:f1:47:54:7f:22,84:f1:47:54:7f:60,84:f1:47:54:7f:62,84:f1:47:54:80:60,84:f1:47:54:80:62,84:f1:47:54:81:00,84:f1:47:54:81:02,84:f1:47:54:8b:a0,84:f1:47:54:8b:a2,84:f1:47:54:95:e0,84:f1:47:54:95:e2,84:f1:47:54:96:e0,84:f1:47:54:96:e2,84:f1:47:54:eb:20,84:f1:47:54:eb:22,84:f1:47:54:f9:80,84:f1:47:54:f9:82,84:f1:47:54:fd:60,84:f1:47:54:fd:62,84:f1:47:54:fd:c0,84:f1:47:54:fd:c2,ae:f6:95:5d:17:2e,b8:11:4b:1d:12:00,b8:11:4b:1d:12:02,b8:11:4b:1d:14:80,b8:11:4b:1d:14:82,b8:11:4b:1d:1e:40,b8:11:4b:1d:1e:42,c4:12:f5:d3:01:90,cc:32:e5:0c:fc:2b,d8:0d:17:3e:c3:cb,d8:36:5f:54:70:40,d8:5d:4c:86:7e:66,e4:4e:2d:85:4c:60,e4:4e:2d:85:4c:62,e8:94:f6:b9:2f:46,Total geral
69,PET,-83,,,-73,-73,,-74,,,,,,,,-69,,,,,-74,,,,-67,-78,,,-82,,,,,-85,-84,,,,,,,,,-82,-82,-90,-89,,,-87,-86,,,-78,-78,,,,,,,,,-81,-63,,-76,-88,-89,-76,-1987
70,PET,-79,-95,-92,-79,-73,-75,-74,,,,,,,,-67,,,,,-78,,,,-66,-78,,,-83,,,,,,,,,,,,,,,-84,-84,,-87,,,-87,-89,,,-77,-77,,,,,,,,,-86,-59,,-77,-89,-88,-78,-2001
71,CoordenacaoEngenhariaEletrica,-88,-94,-94,-71,-79,,-86,,,,,,,,-77,,,,,-75,,,,-77,-77,,,-85,,,,,,,,,,,,,,,-61,-61,,,,,-86,-86,,,,-85,,,,-85,-87,,,,-71,-57,,-92,,,-86,-1760
72,CoordenacaoEngenhariaEletrica,-80,-92,,-76,-79,,-80,,,,,,,,-82,,,,,-65,,,,-75,-79,,,-87,,,,,,,,,,,,,,,-61,-61,,,,,,,,,,-87,,,,-85,-85,,,,-67,-58,,-93,,,-84,-1476
73,CoordenacaoEngenhariaEletrica,-87,-94,-93,-71,-78,,-82,,,,,,,,-71,,,,,-65,-95,,,-74,-78,,,-88,,,,,,,,,,,,,,,-61,-61,,,,,-87,-87,,,,,,,,-83,-83,,,,-71,-60,,-90,,,-89,-1748
74,CoordenacaoEngenhariaEletrica,-83,-97,,-72,-78,-84,-78,,,,,,,,-83,,,,,-65,-95,,,-77,-81,,,-84,,,,,,,,,,,,,,,-60,-60,,,,,-88,-87,,,,,,,,-84,-85,,,,-69,-59,,-91,,,-89,-1749
75,CoordenacaoEngenhariaEletrica,-84,-92,,-77,-77,-83,-78,,,,,,,,-85,,,,,-66,,,,-76,-78,,,-84,,,,,,,,,,,,,,,-59,-58,,,,,-87,-88,,,-87,-87,,,,-89,-88,,,,-68,-60,,-93,,,-89,-1833
76,LabQuimica03,,,,,-91,-91,,-87,,,-76,-78,-89,-90,,,,,,,-90,,,-89,,,,-74,-80,-79,,,,,-88,-86,,,-82,-83,,,,,,,,,,,,,,,-91,-84,-84,,,,,-93,,,,,,,,-1705
77,LabQuimica03,,,,,-92,,,-89,,,-82,-83,,,,,,,,,-89,,-94,-83,,,,-76,-83,-84,,,,,-88,-88,,,-89,-88,,,,,,,,,,,,,,,-90,-85,-85,,,,,,,,,,,,,-1468
78,LabQuimica03,,,,,-93,,,-90,,,-81,-82,,-89,,,,,,,-94,,,-88,,,,-76,-85,-84,,,,,-87,-88,,,-87,-91,,,,,,,,,,,,,,,-88,-86,-87,,,,,,,,,,,,,-1476
79,LabQuimica03,,,,,-94,-87,,,,,-80,-79,-87,-87,,,,,,,-91,,,-88,,,,-75,-87,-86,,,,,-89,-88,,,-87,-86,,,,,,,,,,,,,,,-90,,,,,,,,,,,,,,,-1381
